time,fps
1750500013.1583896,4.54
1750500013.5833354,5.61
1750500013.918624,5.90
1750500014.1793678,5.68
1750500014.445553,6.13
1750500014.742113,5.86
1750500015.0241194,6.00
1750500015.3122675,5.99
1750500015.5999253,5.98
1750500015.9090834,5.49
1750500016.211348,6.05
1750500016.5756505,6.16
1750500016.9705567,5.93
1750500017.226886,6.25
1750500017.5021093,5.86
1750500017.781838,5.93
1750500018.0653973,6.11
1750500018.3525727,6.09
1750500018.6486835,5.84
1750500019.0268445,6.06
1750500019.3359635,5.74
1750500019.6724608,6.15
1750500020.0334127,5.63
1750500020.3245156,5.77
1750500020.6004992,5.82
1750500020.8743923,6.04
1750500021.1705976,6.03
1750500021.4598062,6.09
1750500021.7364972,6.31
1750500022.0205185,6.26
1750500022.3133516,6.02
1750500022.6689396,6.03
1750500023.0076964,5.98
1750500023.3085365,4.86
1750500023.5904527,6.13
1750500023.8773422,6.14
1750500024.167817,6.11
1750500024.4546766,5.87
1750500024.7344584,6.13
1750500025.040694,5.80
1750500025.3973782,5.98
1750500025.8270385,3.94
1750500026.2068093,4.02
1750500026.6087584,4.26
1750500026.9224613,4.81
1750500027.2372634,5.26
1750500027.56557,5.39
1750500027.871798,6.10
1750500028.1593375,6.06
1750500028.4657907,5.48
1750500028.8156247,5.77
1750500029.1467254,5.36
1750500029.4387758,5.67
1750500029.741153,5.23
1750500030.0460377,5.16
1750500030.364435,5.92
1750500030.6707764,5.54
1750500030.9798248,6.11
1750500031.3482716,5.24
1750500031.70713,5.85
1750500032.1545255,4.65
1750500032.478239,4.69
1750500032.8033226,4.73
1750500033.1404247,4.70
1750500033.4779966,5.11
1750500033.810127,5.30
1750500034.1447828,5.37
1750500034.4848142,5.27
1750500034.8443935,5.66
1750500035.1884894,5.27
1750500035.507776,4.84
1750500035.796996,5.87
1750500036.1137967,5.12
1750500036.414431,5.43
1750500036.7650852,5.13
1750500037.1498342,4.18
1750500037.4958732,4.65
1750500038.0270014,3.06
1750500038.352017,4.74
1750500038.667154,5.20
1750500038.9844382,5.58
1750500039.2539735,6.18
1750500039.616884,4.80
1750500039.9140577,6.09
1750500040.2030795,6.03
1750500040.5236871,6.24
1750500040.8583803,6.06
1750500041.1146913,5.91
1750500041.397997,6.27
1750500041.6566885,6.04
1750500041.9618495,5.77
1750500042.3200612,5.05
1750500042.6223063,5.57
1750500042.9128354,6.02
1750500043.2272604,6.00
1750500043.5763295,5.85
1750500043.929839,6.11
1750500044.2314537,5.74
1750500044.5197015,5.87
1750500044.8467472,6.03
1750500045.1219842,6.10
1750500045.4149806,6.06
1750500045.7251396,5.82
1750500046.0453503,5.77
1750500046.3748925,5.86
1750500046.745078,5.76
1750500047.1146765,6.05
1750500047.3711479,6.10
1750500047.6589172,5.68
1750500047.9396677,6.09
1750500048.2117238,6.19
1750500048.5130787,6.06
1750500048.7898955,6.25
1750500049.0858307,5.88
1750500049.3709686,5.75
1750500049.6755297,6.42
1750500050.0171585,6.01
1750500050.2768,5.66
1750500050.5447235,6.23
1750500050.796015,6.10
1750500051.0797307,5.78
1750500051.3545651,6.06
1750500051.6835396,5.71
1750500051.9778728,5.57
1750500052.2651832,6.15
1750500052.5859425,6.03
